(Corelare cu Mixul de Marketing)";Denumire elemente de casa;Nivel 1 de detaliere;Nivel 2 de detaliere;Nivel 3 de detaliere;Nivel 4 de detaliere;Grosime strat (mm);MP;Denumire în ofertă - RO;Cost/mp (euro fara tva);
;Balcon_Terasa;Balcon;Balcon_B;Placari_sus_structura_B;FT; 	-   ; 	1,00 ;Folie Permisivă la Transferul de Vapori;;
;Balcon_Terasa;Balcon;Balcon_B;Placari_sus_structura_B;Deck; 	25,00 ; 	1,00 ;Pardoselă exterior Deck 25 mm;;
;Balcon_Terasa;Acoperis_Terasa;Acoperis_Terasa_ATs;Structura_lemn_ATs;60x200 C; 	200,00 ; 	1,00 ;Structură lemn C24 60x200 mm;;
;Balcon_Terasa;Acoperis_Terasa;Acoperis_Terasa_ATs;Structura_lemn_ATs;100x240 C; 	240,00 ; 	1,00 ;Structură lemn C24 100x240 mm;;
;Balcon_Terasa;Acoperis_Terasa;Acoperis_Terasa_ATs;Placari_jos_structura_ATs;Aquapanel tencuit; 	12,50 ; 	1,00 ;Placă de Ciment Knauf Aquapanel tencuit 12,5 mm;;
;Balcon_Terasa;Acoperis_Terasa;Acoperis_Terasa_ATs;Placari_jos_structura_ATs;Lambriu pe sub capriori; 	19,00 ; 	1,00 ;Lambriu pe sub căpriori 19 mm;;
;Balcon_Terasa;Acoperis_Terasa;Acoperis_Terasa_ATs;Placari_sus_structura_ATs;Lambriu peste capriori; 	19,00 ; 	1,00 ;Lambriu peste căpriori 19 mm;;
;Balcon_Terasa;Acoperis_Terasa;Acoperis_Terasa_ATs;Placari_sus_structura_ATs;FT; 	-   ; 	1,00 ;Folie Permisivă la Transferul de Vapori;;
;Balcon_Terasa;Acoperis_Terasa;Acoperis_Terasa_ATs;Placari_sus_structura_ATs;Caroiaj; 	38,00 ; 	1,00 ;Caroiaj 38 mm;;
;Balcon_Terasa;Acoperis_Terasa;Acoperis_Terasa_ATs;Placari_sus_structura_ATs;OSB 15mm; 	15,00 ; 	1,00 ;OSB 3 15 mm;;
;Balcon_Terasa;Pergola;Pergola_Ps;Structura_lemn_Ps;100x160 - 140x280;;;Structură lemn C24 100x160 - 140x280 mm;;
Achiziții materiale;;;;;;;;;;
